# M=2^1, N=2, PBC
# U/t E0/t <K>/t <V>/t S2(n=1) S2(l=1) Eop(l=1)
0.0 -4.000000000000001 -4.000000000000001 0.0 -8.881784197001248e-16 0.9808292530117257 0.0
0.1 -3.9503124877939224 -3.9996875366163263 0.0493750488224037 7.811584583903757e-5 0.9723761732146655 0.0
0.2 -3.901249804748512 -3.9987505856324916 0.09750078088397973 0.0003123535867959406 0.963690887011334 0.0
0.3 -3.8528115119250863 -3.997190462836722 0.14437895091163586 0.0007023842330360616 0.9547846614586994 0.0
0.4 -3.8049968789001576 -3.995009355511379 0.19001247661122142 0.0012476607981562525 0.9456691670811664 0.0
0.5 -3.75780488547035 -3.992210313931555 0.23440542846120485 0.0019474202843953441 0.9363564192230461 0.0
0.6 -3.7112342240263154 -3.988797239553825 0.2775630155275098 0.0028006864424720336 0.9268587188711134 0.0
0.7 -3.66528330258277 -3.9847748699844514 0.3194915674016815 0.003806273286842286 0.9171885935107916 0.0
0.8 -3.6199502484483568 -3.980148760839957 0.36019851239160044 0.00496278934212946 0.9073587385527242 0.0
0.9 -3.5752329125157467 -3.9749252646352073 0.3996923521194606 0.006268642591573793 0.8973819598325034 0.0
1.0 -3.531128874149275 -3.969111506854671 0.4379826327053958 0.007722046093909942 0.8872711176466627 0.0
1.1 -3.4876354466444845 -3.962715359381184 0.47507991273669953 0.009321024230928416 0.8770390727436385 0.0
1.2 -3.444749683231337 -3.955745411473191 0.5109957282418538 0.011063419544252414 0.8666986346404579 0.0
1.3 -3.402468383590426 -3.9482109384957718 0.545742554905346 0.012946900116676988 0.8562625125859539 0.0
1.4 -3.360788100849391 -3.9401218686228177 0.5793337677734265 0.01496896745044363 0.8457432694398473 0.0
1.5 -3.319705149024927 -3.931488747737288 0.611783598712361 0.01712696479280105 0.8351532786859499 0.0
1.6 -3.279215610874228 -3.922322702763681 0.6431070918894531 0.019418085857100722 0.8245046847470963 0.0
1.7 -3.239315346118467 -3.9126354036714295 0.6733200575529623 0.021839383886633642 0.8138093667208594 0.0
1.8 -3.2 -3.9024390243902447 0.7024390243902443 0.024387781007458875 0.8030789056087211 0.0
1.9 -3.161265012134343 -3.8917462028782417 0.7304811907438985 0.02706007781630184 0.7923245550681847 0.0
2.0 -3.1231056256176606 -3.8805700005813275 0.7574643749636667 0.02985296314968116 0.7815572156774601 0.0
2.1 -3.0855168963504433 -3.868923861517737 0.7834069651672934 0.03276302398118752 0.7707874126664703 0.0
2.2 -3.048493702538308 -3.8568215712151614 0.8083278686768536 0.03578675539473757 0.7600252770357977 0.0
2.3 -3.012030754331352 -3.8442772157195346 0.8322464613881829 0.03892057058330714 0.7492805299574857 0.0
2.4 -2.9761226035642205 -3.8313051408846066 0.8551825373203861 0.0421608108242767 0.7385624703277618 0.0
2.5 -2.9407636535600528 -3.817919912140119 0.8771562585800663 0.04550375538482757 0.7278799653220843 0.0
2.6 -2.9059481689626177 -3.804136274923792 0.8981881059611745 0.048945631313177196 0.7172414437870941 0.0
2.7 -2.8716702855623395 -3.789969115948797 0.9182988303864574 0.05248262307421299 0.7066548922919946 0.0
2.8 -2.837924020083418 -3.77543342546407 0.9375094053806518 0.05611088199085232 0.6961278536531047 0.0
2.9 -2.8047032799009615 -3.7605442606499304 0.9558409807489688 0.059826535455647464 0.6856674277399646 0.0
3.0 -2.772001872658766 -3.745316710276178 0.9733148376174123 0.06362569588021166 0.675280274368631 0.0
3.1 -2.73981351576033 -3.729765860734426 0.9899523449740962 0.06750446935336943 0.6649726180878086 0.0
3.2 -2.708131845707603 -3.713906763541037 1.0057749178334345 0.07145896398214438 0.6547502546655396 0.0
3.3 -2.6769504272639875 -3.69775440439171 1.0208039771277226 0.07548529789309351 0.6446185590883686 0.0
3.4 -2.6462627624201462 -3.6813236738338984 1.0350609114137521 0.07957960687468076 0.6345824948905161 0.0
3.5 -2.616062299143246 -3.6646293396087577 1.0485670404655116 0.08373805164466014 0.6246466246377763 0.0
