# M=4^1, N=4, PBC
# U/t E0/t <K>/t <V>/t S2(n=1) S2(l=1) Eop(l=1)
0.0 -8.0 -8.0 0.0 8.881784197001256e-16 1.1245500303581366 9.367506770274752e-17
1.0 -6.681733497641255 -7.854909432535827 1.1731759348945723 0.03202052108240585 1.0152493002713874 -3.808304123644873e-17
2.0 -5.613864939117684 -7.560725713899053 1.9468607747813695 0.09547544856769614 0.9070133272513544 -6.659239854335961e-16
3.0 -4.721363934828824 -7.168557316031299 2.4471933812024744 0.1795834796140721 0.7937828518769195 2.5922081448981353e-16
4.0 -3.976513013742055 -6.681658588676613 2.705145574934558 0.28539738183314667 0.674778002709926 -2.8204824551396333e-16
5.0 -3.3642622295673514 -6.117510376001139 2.753248146433787 0.4106961166431869 0.5564431141209302 3.802498701698031e-16
6.0 -2.8697399783374697 -5.518238157391346 2.648498179053876 0.5464025216687457 0.44821956199625146 7.885301095245461e-16
7.0 -2.4750567050019794 -4.9334108382685535 2.458354133266574 0.6799399814632209 0.3567980926048118 3.676246927947186e-16
8.0 -2.1610571997712014 -4.39928531795346 2.238228118182258 0.8009148264913901 0.28386355430902094 -6.323715376805292e-19
9.0 -1.9100569551608655 -3.9320627190353554 2.02200576387449 0.9040543399398336 0.22751552375849202 2.4738616162684695e-17
10.0 -1.7073975372484 -3.532806291382964 1.8254087541345636 0.9886425767944098 0.18450935855775022 -8.079288053171955e-16
11.0 -1.541691208444117 -3.1948545014792544 1.6531632930351374 1.0565649009573472 0.1516592482057969 -8.219946692464275e-16
12.0 -1.4043778357715808 -2.909045114714484 1.5046672789429034 1.110638398854938 0.1263600399455289 0.0
13.0 -1.2891013254054347 -2.6663646616838967 1.3772633362784619 1.1536701862009862 0.10664385429642449 7.946467348338357e-16
14.0 -1.191141758368139 -2.4589628393703924 1.2678210810022534 1.1880733921897353 0.09107378744231867 -8.680703825773372e-16
15.0 -1.1069696110484795 -2.2803648325494237 1.1733952215009444 1.2157835375657127 0.078612242137529 -3.453057958617969e-17
16.0 -1.0339175139514505 -2.1253604095282626 1.0914428955768123 1.2383012616054927 0.06850930085096556 4.4406921385413406e-16
17.0 -0.9699450286895431 -1.9897967975367599 1.0198517688472166 1.2567723473238805 0.06021904705499804 -1.7299211514451337e-15
18.0 -0.9134715237103769 -1.8703686983348584 0.9568971746244815 1.2720674333135296 0.0533399157523627 5.865145422912271e-18
19.0 -0.8632572778475143 -1.7644371862324288 0.9011799083849146 1.284848938553914 0.04757300437017841 -5.216625781036099e-18
20.0 -0.8183183291653224 -1.6698836298287607 0.8515653006634383 1.2956233063972744 0.04269307361783551 -4.7191678938794286e-18
21.0 -0.7778649104138339 -1.5849954471271417 0.8071305367133079 1.3047803995460099 0.03852831132761669 -8.521194756179355e-18
22.0 -0.7412564517742196 -1.5083779763215817 0.7671215245473622 1.3126227325483486 0.03494610594451653 -7.710187279339388e-18
23.0 -0.7079683159832911 -1.438886806687194 0.7309184907039028 1.3193870345030638 0.03184294774025994 4.3354056848359416e-16
24.0 -0.6775669243952349 -1.3755757933512702 0.6980088689560353 1.3252601525464935 0.029137182589224882 3.7708529049233e-21
25.0 -0.6496909485850284 -1.3176569814468304 0.667966032861802 1.3303908209987803 0.0267637541895138 3.190933082614657e-21
26.0 -0.6240369346854252 -1.2644695497469038 0.6404326150614786 1.3348984185738084 0.024670346243128125 0.0
27.0 -0.6003482025101952 -1.2154555943395928 0.6151073918293977 1.3388795281048635 0.022814520726269216 0.0
28.0 -0.5784061897181331 -1.1701411188667217 0.5917349291485886 1.3424128864728389 0.02116157252429604 4.4408720061740953e-16
29.0 -0.5580236402099176 -1.1281210083433695 0.5700973681334519 1.3455631485831192 0.01968290475512765 4.365070398740837e-18
30.0 -0.5390391972177857 -1.0890470690543887 0.550007871836603 1.3483837718757103 0.01835478649269831 8.759748956074696e-16
31.0 -0.5213130762898759 -1.0526184434989387 0.5313053672090629 1.3509192440000442 0.017157394152632212 4.516911071696323e-16
32.0 -0.5047235758275928 -1.0185738772814443 0.5138503014538516 1.3532068163074245 0.016074065327031505 4.369662753001266e-16
33.0 -0.48916424267236736 -0.9866854396813742 0.4975211970090069 1.3552778627651179 0.015090713200230983 -1.6686656005440994e-18
34.0 -0.47454155407715065 -0.9567533928114789 0.48221183873432816 1.3571589528469887 0.014195363407175214 -3.1428032417314584e-18
35.0 -0.4607730098120452 -0.9286019741716094 0.4678289643595642 1.3588727044314326 0.01337778503457891 -8.852096396852572e-16
36.0 -0.44778555233262135 -0.9020759101323708 0.45429035779974936 1.3604384662931954 0.012629194580975061 4.3848878978855e-16
37.0 -0.4355142511291918 -0.877037517892892 0.4415232667637002 1.3618728676906517 0.011942016885224786 4.4276437391862353e-16
38.0 -0.4239012011704763 -0.8533642840015345 0.42946308283105816 1.3631902636078876 0.01130969085666581 4.440897915629689e-16
39.0 -0.4128945958986723 -0.8309468309893244 0.4180522350906522 1.3644030975490449 0.010726510678399378 1.04741524562416e-21
40.0 -0.40244794335107886 -0.8096872017956511 0.4072392584445723 1.3655221987855815 0.010187495279281188 4.440887370849867e-16
41.0 -0.3925194002782621 -0.7894974057596789 0.3969780054814168 1.3665570271843925 0.009688280472068555 2.1473552884677656e-18
42.0 -0.38307120404273 -0.7702981809717766 0.38722697692904656 1.3675158758771095 0.009225029371685291 4.4408804526156497e-16
43.0 -0.37406918594279975 -0.7520179364462587 0.3779487505034589 1.368406039838104 0.008794357638584936 4.401890623291619e-16
44.0 -0.365482352658184 -0.7345918444306881 0.36910949177250413 1.3692339567506877 0.008393270808839342 1.860768897392068e-18
45.0 -0.35728252494040735 -0.7179610586161633 0.360678533675756 1.3700053252346205 0.008019111528338884 8.87287685658318e-16
46.0 -0.3494440246113909 -0.7020720383680488 0.35262801375665787 1.3707252044903067 0.007669514941607718 8.505398295467812e-19
47.0 -0.34194340249320976 -0.6868759625946306 0.34493256010142087 1.371398098618627 0.007342370825956203 4.440892098496532e-16
48.0 -0.3347592011521778 -0.6723282196945453 0.3375690185423675 1.3720280282477626 0.00703579132946181 4.440889833125339e-16
49.0 -0.32787174736356384 -0.658387962313289 0.33051621494972516 1.372618591602278 0.0067480833843526844 8.881775857874634e-16
50.0 -0.3212629700378524 -0.6450177175040976 0.32375474746624516 1.3731730167545673 0.006477725036644836 -3.843699556046487e-22
51.0 -0.31491624003333235 -0.6321830444142018 0.3172668043808695 1.3736942064834274 0.006223345068969287 7.098196725839763e-22
52.0 -0.30881622884256793 -0.6198522328710168 0.31103600402844883 1.3741847769109499 0.005983705402761431 1.3278230597521958e-18
53.0 -0.30294878360533495 -0.6079960372767823 0.30504725367144736 1.3746470908845216 0.005757685854568249 4.42811360020794e-16
54.0 -0.29730081628638094 -0.596587441076462 0.29928662479008106 1.3750832869051657 0.005544270892985348 8.869483358544058e-16
55.0 -0.29186020517763356 -0.5856014477754475 0.293741242597814 1.3754953042686686 0.005342538101464529 -1.185360887945354e-18
56.0 -0.2866157071529833 -0.5750148950773841 0.2883991879244009 1.3758849049758717 0.005151648100140893 1.14303931253885e-18
57.0 -0.2815568793289787 -0.5648062892095305 0.2832494098805517 1.376253692878288 0.004970835719375515 -8.859722931300598e-16
58.0 -0.2766740089742996 -0.5549556569206082 0.2782816479463086 1.3766031304508726 0.004799402250271079 4.4302416613783343e-16
59.0 -0.27195805067089446 -0.5454444129879767 0.27348636231708234 1.3769345535224127 0.004636708624397861 -3.949641877981319e-22
60.0 -0.26740056986521576 -0.5362552413684716 0.26885467150325576 1.3772491842431316 0.004482169397443857 4.4210011615352153e-16
61.0 -0.2629936920631165 -0.5273719883794747 0.2643782963163582 1.3775481425266907 0.004335247430104769 0.0
62.0 -0.25873005702009017 -0.5187795665113292 0.260049509491239 1.3778324561685928 0.004195449175391948 8.863162408628908e-16
63.0 -0.254602777362352 -0.5104638676551911 0.2558610902928392 1.3781030698131873 0.004062320494380591 9.014834649952988e-19
64.0 -0.25060540114608204 -0.5024116846868656 0.2518062835407835 1.378360852916917 0.003935442933846343 8.735573347443035e-19
65.0 -0.24673187792383902 -0.49461064048139025 0.2478787625575512 1.3786066068341922 0.0038144304082003626 4.4366569032628106e-16
66.0 -0.24297652794028404 -0.4870491235484554 0.2440725956081714 1.378841071134899 0.003698926236379223 8.208846944938827e-19
67.0 -0.2393340141252213 -0.47971622957820537 0.2403822154529841 1.3790649292473431 0.003588600490807831 -3.980289746509431e-19
68.0 -0.23579931659165537 -0.4726017082728247 0.23680239168116934 1.3792788135078928 0.0034831476214818025 8.870187747390907e-16
69.0 -0.23236770938098975 -0.4656959149137267 0.23332820553273695 1.3794833096875567 0.0033822843228784143 1.0528337499450641e-22
70.0 -0.22903473922742637 -0.45898976617869747 0.22995502695127107 1.379678961056671 0.0032857476158027247 1.9874769475029585e-22
71.0 -0.22579620613969237 -0.4524746997795159 0.2266784936398235 1.3798662720408188 0.0031932931196892995 4.43380345004298e-16
72.0 -0.22264814562099053 -0.44614263753950645 0.22349449191851595 1.380045711514379 0.0031046934940455067 6.889802283367166e-19
73.0 -0.21958681236797686 -0.43998595157325704 0.2203991392052802 1.3802177157722098 0.0030197370303508926 3.351528084713874e-19
74.0 -0.21660866530702952 -0.4339974332681392 0.2173887679611097 1.380382691215013 0.002938226378024567 9.782472407078695e-19
75.0 -0.21371035384139636 -0.4281702648001014 0.21445991095870504 1.3805410167794836 0.0028599773900535932 4.42819465091631e-16
76.0 -0.2108887051963012 -0.4224979929450361 0.21160928774873491 1.3806930461406393 0.0027848180755817046 -7.143846374562167e-23
77.0 -0.20814071276097343 -0.4169745049724032 0.20883379221142978 1.3808391097104904 0.0027125876483000337 8.86974196652371e-16
78.0 -0.20546352533706483 -0.41159400643018784 0.206130481093123 1.380979516454255 0.00264313566070126 8.872983852126848e-16
79.0 -0.2028544372122028 -0.4063510006500239 0.20349656343782108 1.3811145555430022 0.0025763212154895085 4.4380328801142176e-16
80.0 -0.20031087898565492 -0.40124026981883376 0.20092939083317882 1.381244497859319 0.002512012246343458 8.859480042523519e-16
81.0 -0.19783040908038094 -0.3962568574788302 0.1984264483984493 1.3813695973708338 0.002450084861182896 -8.865468068414905e-16
82.0 -0.19541070588223708 -0.39139605233149244 0.19598534644925533 1.3814900923846092 0.002390422741731606 4.435585877699545e-16
83.0 -0.1930495604528745 -0.38665337323338567 0.19360381278051114 1.3816062066942183 0.0023329165940329097 4.4253562782574047e-16
84.0 -0.1907448697680214 -0.3820245552825744 0.191279685514553 1.3817181506297465 0.0022774636448962865 -2.5266977639219645e-19
85.0 -0.18849463043743991 -0.377505536904118 0.18901090646667806 1.381826122020109 0.002223967180055884 4.440891870496801e-16
86.0 -0.18629693286695612 -0.3730924478518175 0.1867955149848614 1.381930307075924 0.0021723361200576743 -8.869728906087656e-16
87.0 -0.18414995582664465 -0.3687815980511361 0.18463164222449144 1.382030881200373 0.0021224846304313243 4.4385359801068464e-16
88.0 -0.18205196139254898 -0.3645694672151999 0.18251750582265094 1.3821280097346649 0.002074331762978469 0.0
89.0 -0.1800012902322801 -0.36045269517198986 0.1804514049397098 1.3822218486441242 0.002027801125405451 -3.7922617297005e-23
90.0 -0.17799635720750026 -0.3564280728464667 0.17843171563896643 1.3823125451502096 0.0019828205767442454 -8.868579410137662e-16
91.0 -0.17603564726869494 -0.35249253384639007 0.17645688657769512 1.3824002383132963 0.0019393219462845196 -4.304596618911074e-19
92.0 -0.17411771161979567 -0.34864314660513773 0.17452543498534207 1.3824850595705778 0.0018972407739671232 8.423611496769055e-19
93.0 -0.17224116413216584 -0.34487710703891633 0.1726359429067505 1.3825671332329879 0.0018565160704023824 -8.871480772267235e-16
94.0 -0.17040467798922085 -0.34119173167943995 0.17078705369021913 1.382646576944668 0.0018170900947919934 -8.873716527028129e-16
95.0 -0.16860698254454537 -0.33758445124649494 0.16897746870194957 1.3827235021082094 0.0017789081492955478 -1.9740351154904485e-19
