# M=4^1, N=4, PBC
# U/t E0/t <K>/t <V>/t S2(n=2) S2(l=2) Eop(l=2)
1.0 -6.681733497641255 -7.854909432535828 1.1731759348945732 0.04253957822375201 1.1353685196649936 0.0027226685264286226
2.0 -5.613864939117685 -7.560725713899056 1.9468607747813704 0.12599604629527122 1.0172255975435809 0.006051007459468869
3.0 -4.721363934828823 -7.1685573160313005 2.4471933812024766 0.23478657352950574 0.8993223833412455 0.008788767362350984
4.0 -3.9765130137420543 -6.681658588676611 2.7051455749345568 0.36920875856409413 0.7702326549445143 0.011349973447758715
5.0 -3.3642622295673514 -6.117510376001137 2.753248146433786 0.5264873811007735 0.6359843948953307 0.013826041010176635
6.0 -2.8697399783374697 -5.518238157391347 2.6484981790538775 0.6963293094803785 0.5099624942327211 0.01595524369369253
7.0 -2.4750567050019794 -4.9334108382685535 2.4583541332665746 0.8642800255633566 0.4025511608851935 0.017456780209978408
8.0 -2.1610571997712014 -4.399285317953458 2.2382281181822568 1.0179350605545792 0.3170139983604829 0.018237590262302004
9.0 -1.9100569551608657 -3.932062719035355 2.022005763874489 1.1504906632429854 0.25141472398812387 0.01838041230855819
10.0 -1.7073975372484 -3.532806291382962 1.825408754134562 1.2604687547446662 0.2018374508123394 0.018045525294095206
